#bar veff Aleft Aright lambda deltaL deltaR tdcConvLeft tdcConvRight L
#N/A cm/ns MeV MeV cm ns ns 1/ns 1/ns cm

v1 13 0.00056 0.00056 200 0 0 1000 1000 49

v2 13 0.00056 0.00056 200 0 0 1000 1000 49

v3 13 0.00056 0.00056 200 0 0 1000 1000 49

v4 13 0.00056 0.00056 200 0 0 1000 1000 49

v5 13 0.00056 0.00056 200 0 0 1000 1000 0.5

v6 13 0.00056 0.00056 200 0 0 1000 1000 0.5

v7 13 0.00056 0.00056 200 0 0 1000 1000 58

v8 13 0.00056 0.00056 200 0 0 1000 1000 58

v9 13 0.00056 0.00056 200 0 0 1000 1000 58

v10 13 0.00056 0.00056 200 0 0 1000 1000 58

v11 13 0.00056 0.00056 200 0 0 1000 1000 58

v12 13 0.00056 0.00056 200 0 0 1000 1000 58

v13 13 0.00056 0.00056 200 0 0 1000 1000 1

v14 13 0.00056 0.00056 200 0 0 1000 1000 1
